,Subzone,School,College,Medical,Recreation,Transport,Shop,Food,lscore,Density
163,SINGAPORE POLYTECHNIC,0.7291666666666666,0.975609756097561,0.10185185185185185,0.256198347107438,0.1503267973856209,0.11734693877551021,0.18951612903225806,45.92677579260234,104.9291767640843
164,SIMPANG NORTH,0.020833333333333332,0.0,0.0,0.008264462809917356,0.013071895424836602,0.0,0.012096774193548387,0.9889950399256069,0.0
165,BALESTIER,0.625,0.5487804878048781,1.0,0.4132231404958678,0.5098039215686274,0.46938775510204084,0.5282258064516129,74.61997227442087,16720.00814290652
166,MARINE PARADE,0.375,0.2926829268292683,0.2962962962962963,0.4297520661157025,0.2549019607843137,0.413265306122449,0.5806451612903226,48.159809058004356,23017.1384370561
167,AIRPORT ROAD,0.125,0.13414634146341464,0.06481481481481481,0.14049586776859505,0.2679738562091503,0.22448979591836735,0.29435483870967744,22.804235736234812,0.0
168,MARINA SOUTH,0.041666666666666664,0.024390243902439025,0.046296296296296294,0.4793388429752066,0.22875816993464052,0.35714285714285715,0.27419354838709675,26.458508976131707,0.0
169,GEYLANG EAST,0.3333333333333333,0.36585365853658536,0.24074074074074073,0.39669421487603307,0.39215686274509803,0.2857142857142857,0.5564516129032258,46.854932033781,11523.438841555379
170,GUILIN,0.2708333333333333,0.2073170731707317,0.3055555555555556,0.30578512396694213,0.2549019607843137,0.32142857142857145,0.21774193548387097,34.32755359819222,11845.665699767971
171,MARGARET DRIVE,0.25,0.47560975609756095,0.10185185185185185,0.2066115702479339,0.1568627450980392,0.21428571428571427,0.2661290322580645,30.460017973307053,15570.294205591554
172,HILLCREST,0.7291666666666666,0.7195121951219512,0.46296296296296297,0.8842975206611571,0.8562091503267973,0.7346938775510204,0.8588709677419355,95.60203345360338,3567.8864541264784
173,RAFFLES PLACE,0.2916666666666667,0.5121951219512195,0.5370370370370371,0.9669421487603306,0.7189542483660131,0.6938775510204082,1.0,86.0332784321901,210.48378353524123
174,MANDAI WEST,0.020833333333333332,0.024390243902439025,0.009259259259259259,0.008264462809917356,0.0,0.00510204081632653,0.016129032258064516,1.530488351848943,0.0
175,CHIN BEE,0.14583333333333334,0.1951219512195122,0.2222222222222222,0.24793388429752067,0.1111111111111111,0.4642857142857143,0.32661290322580644,31.221275725093527,0.0
176,BUKIT MERAH,0.125,0.1951219512195122,0.08333333333333333,0.14049586776859505,0.2222222222222222,0.413265306122449,0.20161290322580644,25.169377573803903,2677.958799229052
177,BEDOK SOUTH,0.08333333333333333,0.04878048780487805,0.07407407407407407,0.14049586776859505,0.13071895424836602,0.04591836734693878,0.04435483870967742,10.345775508598095,15473.203687327765
178,HOLLAND DRIVE,0.2708333333333333,0.2804878048780488,0.3055555555555556,0.3140495867768595,0.27450980392156865,0.3877551020408163,0.46774193548387094,41.93402708118638,27407.919897715372
179,PUNGGOL FIELD,0.4791666666666667,0.32926829268292684,0.17592592592592593,0.2975206611570248,0.2679738562091503,0.2193877551020408,0.21774193548387097,36.21238962271772,35274.06152115927
180,ISTANA NEGARA,0.4583333333333333,0.32926829268292684,0.6203703703703703,0.45454545454545453,0.39869281045751637,0.8112244897959183,0.3951612903225806,63.19621588368962,109.66061337955117
181,MANDAI ESTATE,0.041666666666666664,0.07317073170731707,0.018518518518518517,0.049586776859504134,0.032679738562091505,0.025510204081632654,0.03225806451612903,4.9824886026530955,14503.673767937558
182,BUKIT BATOK SOUTH,0.3541666666666667,0.4024390243902439,0.3333333333333333,0.3305785123966942,0.29411764705882354,0.32142857142857145,0.2056451612903226,40.85467826811771,8209.106638890864
183,CHANGI POINT,0.020833333333333332,0.024390243902439025,0.07407407407407407,0.0743801652892562,0.6274509803921569,0.4336734693877551,0.16129032258064516,25.807992595431205,538.5769783691045
184,CHANGI BAY,0.020833333333333332,0.18292682926829268,0.037037037037037035,0.04132231404958678,0.0457516339869281,0.00510204081632653,0.028225806451612902,6.582776479197236,0.0
